Gene id	MeanTPM (G45A-OE)	MeanTPM (CON)	log2FoldChange	pValue	qValue	result
LOC100514443	0.0001	0.0001	0	1	1	-
LOC100514444	0.0001	0.0001	0	1	1	-
LOC100514448	0.0001	0.0001	0	1	1	-
LOC100514452	0.0001	0.0001	0	1	1	-
LOC100514465	1.902698	0.649152333	1.551417619	0.000190951	0.000669138	-
LOC100514469	0.0001	0.0001	0	1	1	-
LOC100514479	0.0001	0.0001	0	1	1	-
LOC100514481	0.0001	0.0001	0	1	1	-
LOC100514488	0.0001	0.0001	0	1	1	-
LOC100514494	18.468427	16.736878	0.142030553	0.70827735	0.80762334	-
LOC100514500	0.903106667	0.613671667	0.55742942	0.335374506	0.472469477	-
LOC100514501	0.0001	0.0001	0	1	1	-
LOC100514506	0.0001	0.0001	0	1	1	-
LOC100514515	0.654439333	0.762412	-0.220311367	0.249444836	0.375528508	-
LOC100514530	17.18110167	22.47506667	-0.387502849	0.000402066	0.001324106	-
LOC100514556	0.017220667	0.027922	-0.697261288	0.9131128	0.94859478	-
LOC100514559	0.0001	0.0001	0	1	1	-
LOC100514563	0.0001	0.0001	0	1	1	-
LOC100514567	0.0001	0.0001	0	1	1	-
LOC100514590	0.011214333	0.0001	6.809200048	0.603105337	1	-
LOC100514596	0.0001	0.0001	0	1	1	-
LOC100514602	0.0001	0.0001	0	1	1	-
LOC100514628	0.0001	0.0001	0	1	1	-
LOC100514629	0.0001	0.0001	0	1	1	-
LOC100514633	0.0001	0.0001	0	1	1	-
LOC100514656	1.715359	1.501844333	0.191775259	0.673563239	0.781838773	-
LOC100514657	0.0001	0.0001	0	1	1	-
LOC100514667	0.044619333	0.076429667	-0.77646378	0.72756516	0.822416772	-
LOC100514669	0.0001	0.0001	0	1	1	-
LOC100514670	0.0001	0.0001	0	1	1	-
LOC100514671	0.0001	0.0001	0	1	1	-
LOC100514677	0.0001	0.0001	0	1	1	-
LOC100514696	0.0001	0.0001	0	1	1	-
LOC100514700	0.0001	0.0001	0	1	1	-
LOC100514709	0.008770333	0.000645667	3.763770223	0.784337032	1	-
LOC100514722	0.008183333	0.041374	-2.337963919	0.323713619	0.459637132	-
LOC100514734	0.317322667	0.198666	0.675605589	0.477824625	0.614801766	-
LOC100514756	0.0001	0.0001	0	1	1	-
LOC100514765	1.863452667	0.349379333	2.415111997	0.013446902	0.031770086	-
LOC100514776	0.0001	0.0001	0	1	1	-
LOC100514783	0.0001	0.0001	0	1	1	-
LOC100514786	0.325188	0.172921333	0.911158155	0.005306653	0.013833438	-
LOC100514797	0.0001	0.0001	0	1	1	-
LOC100514807	0.158479	0.340002333	-1.101252965	0.074799065	0.14111003	-
LOC100514822	0.0001	0.0001	0	1	1	-
LOC100514828	0.0001	0.0001	0	1	1	-
LOC100514831	0.003034333	0.003901667	-0.362710949	0.982098782	1	-
LOC100514834	0.123195	0.310234333	-1.332414653	0.208006111	0.325447668	-
LOC100514860	0.0001	0.0001	0	1	1	-
LOC100514862	0.0001	0.0001	0	1	1	-
LOC100514868	0.0001	0.0001	0	1	1	-
LOC100514870	0.0001	0.0001	0	1	1	-
LOC100514876	0.0001	0.0001	0	1	1	-
LOC100514905	0.028969	0.051009	-0.816241934	0.481894931	0.617951361	-
LOC100514909	0.0001	0.0001	0	1	1	-
LOC100514912	0.0001	0.068216667	-9.413980451	0.098639856	0.178004122	-
LOC100514924	133.181427	155.9565023	-0.227750801	4.86E-05	0.000189372	-
LOC100514932	0.089995333	0.108517667	-0.270007834	0.681761751	0.78808131	-
LOC100514934	0.0001	0.0001	0	1	1	-
LOC100514940	1.335623	1.952801	-0.548032096	0.016907383	0.03888269	-
LOC100514941	0.0001	0.0001	0	1	1	-
LOC100514947	0.0001	0.0001	0	1	1	-
LOC100514951	1.609869667	0.394162	2.030083292	0.000137619	0.000495102	-
LOC100514973	0.0001	0.020256667	-7.662252981	0.453923507	1	-
LOC100514976	0.0001	0.0001	0	1	1	-
LOC100514979	0.070718	0.007249667	3.286090906	0.078056615	0.146428271	-
LOC100514981	0.0001	0.018409333	-7.524293572	0.709036939	1	-
LOC100514982	6.879755667	6.743320667	0.028898125	0.413628202	0.553419603	-
LOC100514986	0.0001	0.0001	0	1	1	-
LOC100515036	0.002511667	0.0001	4.650573106	0.790861922	1	-
LOC100515042	0.0001	0.0001	0	1	1	-
LOC100515044	0.0001	0.0001	0	1	1	-
LOC100515049	0.0001	0.004238	-5.405311683	0.659806125	1	-
LOC100515070	0.0001	0.0001	0	1	1	-
LOC100515090	0.0001	0.0001	0	1	1	-
LOC100515111	0.0001	0.0001	0	1	1	-
LOC100515112	0.0001	0.0001	0	1	1	-
LOC100515114	0.0001	0.0001	0	1	1	-
LOC100515118	15.152886	21.58692733	-0.510565312	8.28E-06	3.61E-05	-
LOC100515119	2.178130667	2.52162	-0.211260378	0.0741247	0.140101644	-
LOC100515126	0.0001	0.0001	0	1	1	-
LOC100515147	0.055139	0.005586	3.303185624	0.539768886	0.66901515	-
LOC100515153	0.0001	0.0001	0	1	1	-
LOC100515154	0.0001	0.0001	0	1	1	-
LOC100515156	0.130550333	0.084464	0.628197665	0.602120617	0.721521306	-
LOC100515160	0.0001	0.0001	0	1	1	-
LOC100515161	0.0001	0.0001	0	1	1	-
LOC100515162	0.0001	0.0001	0	1	1	-
LOC100515166	0.463712	0.777930667	-0.746412519	0.106438332	0.189883192	-
LOC100515171	0.004771	0.00487	-0.029630086	0.925934874	0.956901587	-
LOC100515176	0.0001	0.0001	0	1	1	-
LOC100515185	0.0001	0.0001	0	1	1	-
LOC100515186	0.404732	0.077629333	2.382293117	0.032396141	0.068716353	-
LOC100515195	0.0001	0.0001	0	1	1	-
LOC100515209	0.173628667	0.055473333	1.646138838	0.167673473	0.274717211	-
LOC100515213	0.0001	0.0001	0	1	1	-
LOC100515222	0.0001	0.0001	0	1	1	-
LOC100515241	0.107376333	0.014889333	2.850324982	0.080773884	0.150767885	-
LOC100515242	0.058407333	0.026814667	1.123127199	0.613603163	0.731321534	-
LOC100515266	0.0001	0.0001	0	1	1	-
LOC100515268	0.0001	0.0001	0	1	1	-
LOC100515272	0.0001	0.0001	0	1	1	-
LOC100515282	0.097381333	0.102968333	-0.080483563	0.893415958	0.936959456	-
LOC100515290	264.2761127	187.4255523	0.495728375	3.21E-07	1.69E-06	-
LOC100515291	0.0001	0.0001	0	1	1	-
LOC100515302	0.010067	0.059327667	-2.559071224	0.084922842	0.157206246	-
LOC100515311	0.0001	0.0001	0	1	1	-
LOC100515318	0.0001	0.010149667	-6.665288537	0.836624538	1	-
LOC100515326	0.0001	0.0001	0	1	1	-
LOC100515340	13.07458733	14.11119367	-0.110074619	0.145054102	0.244497019	-
LOC100515345	0.060488	0.071242333	-0.236085809	0.728361468	0.82290839	-
LOC100515348	0.49341	0.064778333	2.9292037	0.051372419	0.102223917	-
LOC100515358	0.105299	0.030697333	1.778306496	0.467596017	0.60540676	-
LOC100515362	0.0001	0.0001	0	1	1	-
LOC100515376	0.0001	0.0001	0	1	1	-
LOC100515379	0.004853667	0.0001	5.601003127	0.790861922	1	-
LOC100515383	0.080008333	0.005312	3.912823221	0.069793967	0.133252574	-
LOC100515389	0.0001	0.0001	0	1	1	-
LOC100515391	0.0001	0.0001	0	1	1	-
LOC100515394	0.0001	0.0001	0	1	1	-
LOC100515396	0.0001	0.0001	0	1	1	-
LOC100515430	0.0001	0.0001	0	1	1	-
LOC100515441	0.0001	0.0001	0	1	1	-
LOC100515465	0.0001	0.0001	0	1	1	-
LOC100515469	0.0001	0.0001	0	1	1	-
LOC100515492	0.011785667	0.070599667	-2.582628004	0.360609328	0.499480102	-
LOC100515508	0.0001	0.0001	0	1	1	-
LOC100515519	79.12704233	64.87250633	0.286563654	0.141527382	0.239634737	-
LOC100515525	0.110370333	0.089620667	0.300449076	0.931759473	0.960574175	-
LOC100515529	0.0001	0.0001	0	1	1	-
LOC100515531	0.0001	0.0001	0	1	1	-
LOC100515533	0.287123	0.50001	-0.800288046	0.187230332	0.299338935	-
LOC100515543	0.0001	0.0001	0	1	1	-
LOC100515551	0.031173	0.047907667	-0.619959547	0.681084806	0.787681468	-
LOC100515554	0.0001	0.0001	0	1	1	-
LOC100515557	0.0001	0.0001	0	1	1	-
LOC100515559	0.179797667	0.129493	0.473500186	0.696966645	0.799138653	-
LOC100515560	0.0001	0.0001	0	1	1	-
LOC100515562	0.0001	0.0001	0	1	1	-
LOC100515578	0.0001	0.021464667	-7.745819959	0.532625648	1	-
LOC100515579	0.568963333	0.520646667	0.128031052	0.98596112	0.992058881	-
LOC100515582	0.265486	0.216081667	0.297059112	0.620796069	0.736987225	-
LOC100515602	0.0001	0.0001	0	1	1	-
LOC100515618	0.0001	0.008207	-6.358783048	0.659806125	1	-
LOC100515643	20.17175267	9.318721	1.114132578	2.58E-28	9.89E-27	up
LOC100515647	0.0001	0.0001	0	1	1	-
LOC100515649	0.0001	0.0001	0	1	1	-
LOC100515676	0.064322667	0.0001	9.329183408	0.471550132	1	-
LOC100515685	9.209450333	12.74920567	-0.469220407	0.000143299	0.000513982	-
LOC100515693	0.135195667	0.0001	10.4008332	0.087210649	0.160619044	-
LOC100515694	0.0001	0.0001	0	1	1	-
LOC100515706	0.0001	0.0001	0	1	1	-
LOC100515716	0.0001	0.0001	0	1	1	-
LOC100515740	0.0001	0.0001	0	1	1	-
LOC100515741	0.0001	0.0001	0	1	1	-
LOC100515742	0.0001	0.0001	0	1	1	-
LOC100515746	0.0001	0.0001	0	1	1	-
LOC100515751	0.0001	0.0001	0	1	1	-
LOC100515765	0.0001	0.0001	0	1	1	-
LOC100515766	0.005311	0.009256333	-0.801457289	0.96195154	1	-
LOC100515772	0.205048	0.212546667	-0.051817962	0.6578528	0.768388783	-
LOC100515773	0.0001	0.0001	0	1	1	-
LOC100515775	0.0001	0.0001	0	1	1	-
LOC100515784	0.0001	0.0001	0	1	1	-
LOC100515788	0.0001	0.0001	0	1	1	-
LOC100515792	18.994916	27.50934867	-0.53430865	3.35E-14	3.83E-13	-
LOC100515797	0.0001	0.0001	0	1	1	-
LOC100515804	0.123059667	0.028785333	2.095952166	0.381453477	0.521059702	-
LOC100515809	0.0001	0.0001	0	1	1	-
LOC100515824	0.028331	0.032746333	-0.208951849	0.779644834	0.861058622	-
LOC100515837	0.010894	0.0001	6.767389962	0.625741597	1	-
LOC100515852	0.009409667	0.0001	6.556071712	0.52261084	1	-
LOC100515857	14.80895733	3.970937667	1.898918448	3.81E-22	8.74E-21	up
LOC100515866	0.0001	0.0001	0	1	1	-
LOC100515867	0.060974667	0.106118667	-0.799396583	0.682285619	0.788473393	-
LOC100515876	0.041219667	0.0001	8.687189028	0.433344854	1	-
LOC100515881	0.0001	0.0001	0	1	1	-
LOC100515886	0.0001	0.0001	0	1	1	-
LOC100515899	0.023032333	0.0001	7.847516763	0.305560295	1	-
LOC100515900	0.785531333	0.870923333	-0.148876902	0.557632079	0.683912766	-
LOC100515902	2.585853	1.385527	0.900205438	0.006402627	0.016391931	-
LOC100515910	0.0001	0.0001	0	1	1	-
LOC100515915	0.001324667	0.000904333	0.550702825	0.976475162	1	-
LOC100515945	0.0001	0.0001	0	1	1	-
LOC100515964	0.0001	0.0001	0	1	1	-
LOC100515977	0.0001	0.0001	0	1	1	-
LOC100515983	0.0001	0.0001	0	1	1	-
LOC100515984	0.0001	0.0001	0	1	1	-
LOC100516001	0.0001	0.048158667	-8.91165164	0.140957619	0.238818717	-
LOC100516004	0.022828	0.024595667	-0.107599692	0.923791694	1	-
LOC100516019	0.0001	0.0001	0	1	1	-
LOC100516036	0.0001	0.048155333	-8.911551779	0.235049261	0.35821959	-
LOC100516039	0.916073	0.203158333	2.172858025	0.013200263	0.031264895	-
LOC100516041	0.019871667	0.024714667	-0.31465457	0.961363334	1	-
LOC100516059	0.059655333	0.0001	9.220507314	0.218959293	1	-
LOC100516064	0.0001	0.0001	0	1	1	-
LOC100516067	0.0001	0.0001	0	1	1	-
LOC100516070	0.0001	0.0001	0	1	1	-
LOC100516084	2.460772333	3.454770333	-0.489478618	0.001346938	0.003994852	-
LOC100516085	0.0001	0.0001	0	1	1	-
LOC100516093	0.0001	0.0001	0	1	1	-
LOC100516094	0.001263	0.0001	3.658782734	0.790861922	1	-
LOC100516105	32.35321933	29.68047933	0.124394885	0.878131536	0.926770558	-
LOC100516110	0.0001	0.002520333	-4.655542649	0.836624538	1	-
LOC100516119	0.0001	0.0001	0	1	1	-
LOC100516145	0.0001	0.099370333	-9.956671394	0.011556575	0.027817326	-
LOC100516150	0.0001	0.0001	0	1	1	-
LOC100516152	0.0001	0.0001	0	1	1	-
LOC100516164	0.0001	0.0001	0	1	1	-
LOC100516178	0.0001	0.0001	0	1	1	-
LOC100516208	0.0001	0.0001	0	1	1	-
LOC100516243	0.138113	0.0001	10.43163341	0.036328063	0.075831196	-
LOC100516252	0.0001	0.0001	0	1	1	-
LOC100516261	0.0001	0.0001	0	1	1	-
LOC100516279	1.311515333	1.280611667	0.034401616	0.892075577	0.935882859	-
LOC100516280	0.0001	0.0001	0	1	1	-
LOC100516283	0.0001	0.0001	0	1	1	-
LOC100516295	344.2541707	522.381653	-0.601630095	2.05E-16	2.87E-15	-
LOC100516302	0.252603333	0.456473	-0.853655852	0.346135307	0.484569065	-
LOC100516308	0.0001	0.009962333	-6.638411778	0.709036939	1	-
LOC100516317	0.0001	0.0001	0	1	1	-
LOC100516324	0.036320667	0.058809667	-0.69526263	0.785421692	0.865040902	-
LOC100516336	0.0001	0.0001	0	1	1	-
LOC100516355	0.920202667	0.816268333	0.172908147	0.066308763	0.127496052	-
LOC100516390	4.237832333	4.103116333	0.046606451	0.673568376	0.781838773	-
LOC100516399	0.0001	0.0001	0	1	1	-
LOC100516417	0.281315667	0.027345	3.362840932	0.063117606	0.12218485	-
LOC100516420	0.017461667	0.0001	7.448047456	0.334049579	1	-
LOC100516421	0.0001	0.0001	0	1	1	-
LOC100516424	0.154585667	0.186746667	-0.272675934	0.516416329	0.647809055	-
LOC100516426	0.0001	0.0001	0	1	1	-
LOC100516428	0.0001	0.0001	0	1	1	-
LOC100516453	0.0001	0.0001	0	1	1	-
LOC100516454	0.0001	0.0001	0	1	1	-
LOC100516455	0.355695667	0.117352	1.599800969	3.77E-05	0.000149618	-
LOC100516467	0.0001	0.0001	0	1	1	-
LOC100516480	244.6886033	259.6712543	-0.085739408	0.0132718	0.031405858	-
LOC100516485	0.157760667	0.106768	0.563258239	0.587901575	0.709112173	-
LOC100516486	0.0001	0.0001	0	1	1	-
LOC100516504	0.026685	0.0001	8.059885201	0.454918601	1	-
LOC100516511	0.0001	0.0001	0	1	1	-
LOC100516527	58.85282033	98.37516267	-0.741182563	7.84E-21	1.63E-19	-
LOC100516538	0.0001	0.0001	0	1	1	-
LOC100516553	0.0001	0.0001	0	1	1	-
LOC100516569	0.0001	0.0001	0	1	1	-
LOC100516575	0.0001	0.0001	0	1	1	-
LOC100516587	2.848946667	6.823027667	-1.259983452	8.91E-09	5.73E-08	down
LOC100516591	0.001378333	0.0001	3.784852924	0.790861922	1	-
LOC100516605	0.0001	0.065254	-9.34992253	0.534272733	1	-
LOC100516606	553.4205733	566.1082353	-0.032701634	0.054279511	0.107246262	-
LOC100516618	0.0001	0.0001	0	1	1	-
LOC100516627	0.0001	0.0001	0	1	1	-
LOC100516628	0.0001	0.0001	0	1	1	-
LOC100516630	0.0001	0.0001	0	1	1	-
LOC100516631	0.0001	0.0001	0	1	1	-
LOC100516632	0.0001	0.0001	0	1	1	-
LOC100516636	0.0001	0.0001	0	1	1	-
LOC100516640	0.037332667	0.013983667	1.416695863	0.691196517	0.794932372	-
LOC100516643	1.325061	1.484542667	-0.163959781	0.42033785	0.560467723	-
LOC100516646	0.0001	0.0001	0	1	1	-
LOC100516649	5.148806	4.159420333	0.307855427	0.927818853	0.958016375	-
LOC100516665	0.588217667	0.466684333	0.333903079	0.506441634	0.639561899	-
LOC100516666	0.0001	0.0001	0	1	1	-
LOC100516669	2.149442333	2.385656333	-0.150423825	0.555358711	0.681928335	-
LOC100516685	0.0001	0.0001	0	1	1	-
LOC100516694	0.0001	0.0001	0	1	1	-
LOC100516702	0.017078667	0.0001	7.416051538	0.208841883	0.326252174	-
LOC100516704	0.039407667	0.019880333	0.987134383	0.805129242	1	-
LOC100516718	0.0001	0.0001	0	1	1	-
LOC100516720	0.0001	0.0001	0	1	1	-
LOC100516731	1.835973667	1.323915333	0.471734504	0.025124106	0.055104414	-
LOC100516735	0.0001	0.0001	0	1	1	-
LOC100516736	0.0001	0.0001	0	1	1	-
LOC100516749	0.072515	0.0001	9.502135643	0.399157115	1	-
LOC100516756	0.0001	0.0001	0	1	1	-
LOC100516778	0.0001	0.0001	0	1	1	-
LOC100516783	0.0001	0.0001	0	1	1	-
LOC100516797	0.202650333	0.123644	0.712800316	0.237003479	0.36064923	-
LOC100516803	0.107218333	0.025462667	2.074096191	0.271175371	0.400731558	-
LOC100516805	0.0001	0.0001	0	1	1	-
LOC100516810	0.0001	0.0001	0	1	1	-
LOC100516811	0.0001	0.0001	0	1	1	-
LOC100516814	0.187371	0.30534	-0.704518917	0.287451039	0.419700125	-
LOC100516817	0.071601667	0.0001	9.483849359	0.305560295	1	-
LOC100516819	0.0001	0.0001	0	1	1	-
LOC100516820	0.018110333	0.461682	-4.67201448	0.000186152	0.000653887	-
LOC100516840	0.002928333	0.000665	2.13865354	0.795471103	1	-
LOC100516844	0.0001	0.001282667	-3.681074393	0.836624538	1	-
LOC100516851	0.0001	0.0001	0	1	1	-
LOC100516852	0.294559	0.222864	0.402393042	0.503334348	0.636976143	-
LOC100516876	0.0001	0.0001	0	1	1	-
LOC100516891	2.599221333	1.926212	0.432312994	0.246269497	0.372042848	-
LOC100516898	0.0001	0.0001	0	1	1	-
LOC100516902	0.0001	0.0001	0	1	1	-
LOC100516910	0.005177	0.0001	5.694044413	0.643745421	1	-
LOC100516915	0.0001	0.0001	0	1	1	-
LOC100516919	0.0001	0.0001	0	1	1	-
LOC100516932	0.0001	0.015333667	-7.260558913	0.709036939	1	-
LOC100516933	0.0001	0.0001	0	1	1	-
LOC100516935	0.013963	0.041709	-1.57874978	0.411094948	0.550682078	-
LOC100516952	0.971953667	1.602769333	-0.721607364	0.141565769	0.239678415	-
LOC100516957	0.0001	0.0001	0	1	1	-
LOC100516963	0.010457	0.006941	0.591253583	0.932350696	1	-
LOC100516981	0.0001	0.0001	0	1	1	-
LOC100516982	0.0001	0.0001	0	1	1	-
LOC100516985	0.0001	0.0001	0	1	1	-
LOC100516987	0.0001	0.0001	0	1	1	-
LOC100516990	0.0001	0.0001	0	1	1	-
LOC100517025	0.409999667	0.410237	-0.00083488	0.235482464	0.358707483	-
LOC100517027	0.021001	0.0001	7.714314216	0.643745421	1	-
LOC100517051	0.0001	0.0001	0	1	1	-
LOC100517052	0.0001	0.0001	0	1	1	-
LOC100517066	0.062013	0.017749667	1.804778753	0.526999071	0.657367452	-
LOC100517069	0.0001	0.0001	0	1	1	-
LOC100517094	0.000338	0.0001	1.757023247	0.63460719	1	-
LOC100517101	0.0001	0.0001	0	1	1	-
LOC100517104	0.0001	0.002103333	-4.394605599	0.836624538	1	-
LOC100517116	4.53652	5.005888	-0.142039994	0.063802961	0.123348503	-
LOC100517119	0.0001	0.0001	0	1	1	-
LOC100517129	21.71559	20.37907533	0.091642557	0.889684137	0.93440397	-
LOC100517136	0.872814667	0.158111667	2.46473152	0.029596441	0.063664623	-
LOC100517145	0.368627	0.053439	2.786196829	7.49E-07	3.76E-06	-
LOC100517146	0.0001	0.0001	0	1	1	-
LOC100517149	1.235225	0.586592	1.074344556	0.058810064	0.114850379	-
LOC100517161	0.0001	0.0001	0	1	1	-
LOC100517166	279.6812133	278.6590677	0.005282249	0.201077572	0.316899452	-
LOC100517168	0.0001	0.0001	0	1	1	-
LOC100517176	0.0001	0.0001	0	1	1	-
LOC100517188	3.083039667	1.742708667	0.823022041	7.58E-10	5.52E-09	-
LOC100517194	0.0001	0.0001	0	1	1	-
LOC100517213	0.621703333	0.827087667	-0.411813941	0.292549837	0.425382794	-
LOC100517215	0.0001	0.0001	0	1	1	-
LOC100517216	0.0001	0.0001	0	1	1	-
LOC100517224	0.010572667	0.037562	-1.828934579	0.993396422	1	-
LOC100517239	0.0001	0.0001	0	1	1	-
LOC100517245	0.0001	0.0001	0	1	1	-
LOC100517262	0.0001	0.0001	0	1	1	-
LOC100517280	0.0001	0.0001	0	1	1	-
LOC100517285	0.0001	0.0001	0	1	1	-
LOC100517287	0.0001	0.0001	0	1	1	-
LOC100517304	0.006641	0.0001	6.053328593	0.790861922	1	-
LOC100517320	0.0001	0.002608333	-4.705056346	0.836624538	1	-
LOC100517331	0.0001	0.0001	0	1	1	-
LOC100517340	0.007831333	0.0001	6.291186051	0.471550132	1	-
LOC100517349	0.0001	0.0001	0	1	1	-
LOC100517356	1.833208333	1.632868	0.16696258	0.762682179	0.848129907	-
LOC100517357	0.0001	0.0001	0	1	1	-
LOC100517372	14.444163	12.78301467	0.176258493	0.614500721	0.732070423	-
LOC100517394	0.0001	0.0001	0	1	1	-
LOC100517408	0.0001	0.0001	0	1	1	-
LOC100517422	0.0001	0.0001	0	1	1	-
LOC100517427	0.024918667	0.016683667	0.578790482	0.87326143	1	-
LOC100517444	0.0001	0.0001	0	1	1	-
LOC100517446	0.545445333	0.426843667	0.353726838	0.821237103	0.889298016	-
LOC100517451	0.0001	0.0001	0	1	1	-
LOC100517453	0.0001	0.0001	0	1	1	-
LOC100517462	0.0001	0.0001	0	1	1	-
LOC100517469	0.0001	0.002473333	-4.628384781	0.836624538	1	-
LOC100517477	0.300863333	0.354967333	-0.23857797	0.615578286	0.733200825	-
LOC100517479	0.165368333	0.058765667	1.492637573	0.308853471	0.443411972	-
LOC100517487	24.37310133	29.63442167	-0.281984066	0.004920581	0.012940489	-
LOC100517492	0.0001	0.0001	0	1	1	-
LOC100517497	0.0001	0.0001	0	1	1	-
LOC100517498	0.008507667	0.012260333	-0.527162789	0.989129934	1	-
LOC100517502	23.09210333	20.78288467	0.152003672	0.763461717	0.848612775	-
LOC100517506	0.0001	0.0001	0	1	1	-
LOC100517524	0.0001	0.0001	0	1	1	-
LOC100517537	0.0001	0.0001	0	1	1	-
LOC100517543	0.0001	0.0001	0	1	1	-
LOC100517544	6.676712667	7.868863333	-0.237017297	0.113533376	0.200195258	-
LOC100517545	0.0001	0.0001	0	1	1	-
LOC100517560	0.0001	0.0001	0	1	1	-
LOC100517579	0.0001	0.0001	0	1	1	-
LOC100517592	0.0001	0.0001	0	1	1	-
LOC100517595	0.0001	0.0001	0	1	1	-
LOC100517603	0.0001	0.0001	0	1	1	-
LOC100517605	0.0001	0.0001	0	1	1	-
LOC100517610	0.077768667	0.016607667	2.227339611	0.508228612	0.640883181	-
LOC100517631	0.0001	0.0001	0	1	1	-
LOC100517632	0.0001	0.0001	0	1	1	-
LOC100517659	0.0001	0.0001	0	1	1	-
LOC100517674	0.0001	0.034953	-8.449272477	0.363965902	1	-
LOC100517693	0.011204333	0.002547667	2.136808375	0.96195154	1	-
LOC100517700	0.0001	0.0001	0	1	1	-
LOC100517712	3.029019	5.669646667	-0.904408201	1.09E-17	1.75E-16	-
LOC100517723	0.0001	0.0001	0	1	1	-
LOC100517724	0.0001	0.0001	0	1	1	-
LOC100517727	0.242496	0.527374667	-1.120867321	0.011258018	0.027184622	-
LOC100517731	13.44347167	2.987993333	2.169656916	3.31E-122	3.15E-119	up
LOC100517735	2.216974	1.692357667	0.389557348	0.363655459	0.502879075	-
LOC100517742	0.005248667	0.010334	-0.977375906	0.851119244	1	-
LOC100517746	0.0001	0.0001	0	1	1	-
LOC100517751	1.972159	1.322349333	0.576672517	0.003637528	0.009838072	-
LOC100517754	0.0001	0.0001	0	1	1	-
LOC100517758	0.0001	0.0001	0	1	1	-
LOC100517759	0.0001	0.0001	0	1	1	-
LOC100517768	0.0001	0.0001	0	1	1	-
LOC100517771	0.0001	0.0001	0	1	1	-
LOC100517778	0.0001	0.0001	0	1	1	-
LOC100517779	0.0001	0.0001	0	1	1	-
LOC100517800	0.0001	0.0001	0	1	1	-
LOC100517803	1.608390333	1.190462	0.434096	0.335087063	0.472157987	-
LOC100517809	22.81642167	24.213282	-0.085726094	0.084879056	0.157166618	-
LOC100517811	0.0001	0.0001	0	1	1	-
LOC100517819	0.0001	0.0001	0	1	1	-
LOC100517830	0.0001	0.0001	0	1	1	-
LOC100517834	0.0001	0.013491333	-7.075889125	0.709036939	1	-
LOC100517850	0.006675333	0.0001	6.060767975	0.603105337	1	-
LOC100517852	0.0001	0.001508667	-3.915202179	0.836624538	1	-
LOC100517855	23.45529667	26.476576	-0.174802814	0.000637925	0.002017094	-
LOC100517880	0.0001	0.0001	0	1	1	-
LOC100517891	0.0001	0.0001	0	1	1	-
LOC100517897	0.0001	0.0001	0	1	1	-
LOC100517900	0.0001	0.0001	0	1	1	-
LOC100517905	0.0001	0.0001	0	1	1	-
LOC100517923	0.0001	0.0001	0	1	1	-
LOC100517929	0.0001	0.0001	0	1	1	-
LOC100517934	0.0001	0.0001	0	1	1	-
LOC100517957	0.0001	0.0001	0	1	1	-
LOC100517973	6.301414667	6.999622667	-0.151601402	0.134906103	0.230639274	-
LOC100517977	0.295287667	0.448124667	-0.60177904	0.03142216	0.066918865	-
LOC100517987	0.0001	0.0001	0	1	1	-
LOC100517995	0.0001	0.0001	0	1	1	-
LOC100518002	0.0001	0.0001	0	1	1	-
LOC100518023	0.0001	0.0001	0	1	1	-
LOC100518052	0.0001	0.0001	0	1	1	-
LOC100518053	0.0001	0.0001	0	1	1	-
LOC100518059	0.0001	0.0001	0	1	1	-
LOC100518060	0.0001	0.0001	0	1	1	-
LOC100518068	0.005654333	0.017923	-1.664383299	0.808031767	1	-
LOC100518075	0.298196	0.386802667	-0.375336836	0.43877369	0.57803704	-
LOC100518077	0.0001	0.0001	0	1	1	-
LOC100518085	0.0001	0.0001	0	1	1	-
LOC100518090	0.0001	0.0001	0	1	1	-
LOC100518097	17.08965933	14.82638233	0.204957018	0.222287705	0.343138956	-
LOC100518108	0.0001	0.0001	0	1	1	-
LOC100518109	0.054591	0.0001	9.092519314	0.070703785	0.134665454	-
LOC100518120	0.534261333	0.547107	-0.034277407	0.85372727	0.910916766	-
LOC100518166	0.0001	0.0001	0	1	1	-
LOC100518170	53.57602933	42.790741	0.324289001	0.027682341	0.060090473	-
LOC100518173	0.0001	0.0001	0	1	1	-
LOC100518174	0.0001	0.0001	0	1	1	-
LOC100518183	0.0001	0.0001	0	1	1	-
LOC100518203	0.0001	0.0001	0	1	1	-
LOC100518205	0.023998667	0.031200333	-0.378607189	0.836623098	0.899673503	-
LOC100518212	0.0001	0.000825333	-3.044976909	0.836624538	1	-
LOC100518231	0.0001	0.0001	0	1	1	-
LOC100518239	0.0001	0.0001	0	1	1	-
LOC100518258	0.0001	0.0001	0	1	1	-
LOC100518267	0.0001	0.0001	0	1	1	-
LOC100518286	0.0001	0.007637667	-6.255060052	0.629730267	1	-
LOC100518292	0.0001	0.0001	0	1	1	-
LOC100518295	0.153537667	0.191212333	-0.316582953	0.432663398	0.572125584	-
LOC100518301	0.0001	0.0001	0	1	1	-
LOC100518305	0.0001	0.0001	0	1	1	-
LOC100518318	0.0001	0.0001	0	1	1	-
LOC100518320	0.0001	0.0001	0	1	1	-
LOC100518328	0.0001	0.0001	0	1	1	-
LOC100518329	0.0001	0.0001	0	1	1	-
LOC100518330	0.075641333	0.012291667	2.621494245	0.052664974	0.104468297	-
LOC100518351	0.006201	0.018910333	-1.608601999	0.476167725	0.613251194	-
LOC100518353	0.0001	0.0001	0	1	1	-
LOC100518356	0.0001	0.0001	0	1	1	-
