id	Description	Significant	Annotated	Pvalue	Qvalue	Signi_id	Signi_symbol
ko00982	Drug metabolism - cytochrome P450	2/185	28/6035	0.21131788	0.631858193	"ALDH3A1(1.09899768484),GSTA1(2.14367693497)"	"ALDH3A1(1.09899768484),GSTA1(2.14367693497)"
ko00410	beta-Alanine metabolism	2/185	29/6035	0.222691032	0.656352516	"ALDH3A1(1.09899768484),SMOX(1.80759364057)"	"ALDH3A1(1.09899768484),SMOX(1.80759364057)"
ko04370	VEGF signaling pathway	3/185	54/6035	0.229147506	0.656993208	"KDR(1.90495530896),PRKCG(1.39222538185),PTGS2(1.55532095758)"	"KDR(1.90495530896),PRKCG(1.39222538185),PTGS2(1.55532095758)"
ko04144	Endocytosis	10/185	248/6035	0.229277222	0.656993208	"ACAP1(1.6777788018),DNM1(1.13212995597),FOLR1(1.53409305868),HSP70.2(1.30526719848),HSPA6(1.13880044068),IL2RG(1.99337272205),KDR(1.90495530896),PARD6B(1.13582282895),PIP5K1C(1.23299745223),SLA-1(1.08281258376)"	"ACAP1(1.6777788018),DNM1(1.13212995597),FOLR1(1.53409305868),HSP70.2(1.30526719848),HSPA6(1.13880044068),IL2RG(1.99337272205),KDR(1.90495530896),PARD6B(1.13582282895),PIP5K1C(1.23299745223),SLA-1(1.08281258376)"
ko04380	Osteoclast differentiation	5/185	110/6035	0.247646399	0.679892267	"CTSK(1.90981159593),FOSL2(1.43767101148),IRF9(1.22284014357),NFKBIA(1.17865304471),SPI1(1.50935134992)"	"CTSK(1.90981159593),FOSL2(1.43767101148),IRF9(1.22284014357),NFKBIA(1.17865304471),SPI1(1.50935134992)"
ko04630	Jak-STAT signaling pathway	6/185	138/6035	0.248273295	0.679892267	"IL13RA1(1.1758617807),IL2RG(1.99337272205),IL6R(1.09981069263),IRF9(1.22284014357),JAK2(1.16750657076),THPO(1.15318667264)"	"IL13RA1(1.1758617807),IL2RG(1.99337272205),IL6R(1.09981069263),IRF9(1.22284014357),JAK2(1.16750657076),THPO(1.15318667264)"
ko01524	Platinum drug resistance	3/185	57/6035	0.253869547	0.679892267	"BBC3(2.4145500821),GSTA1(2.14367693497),PMAIP1(1.17643056041)"	"BBC3(2.4145500821),GSTA1(2.14367693497),PMAIP1(1.17643056041)"
ko04064	NF-kappa B signaling pathway	4/185	84/6035	0.256393444	0.679892267	"CCL4(2.50728362427),NFKBIA(1.17865304471),PTGS2(1.55532095758),TNFAIP3(1.06419717467)"	"CCL4(2.50728362427),NFKBIA(1.17865304471),PTGS2(1.55532095758),TNFAIP3(1.06419717467)"
ko05020	Prion diseases	2/185	32/6035	0.257040903	0.679892267	"CCL5(2.09464524107),HSPA5(1.07766242291)"	"CCL5(2.09464524107),HSPA5(1.07766242291)"
ko05340	Primary immunodeficiency	2/185	32/6035	0.257040903	0.679892267	"IL2RG(1.99337272205),TAP1(1.0321993922)"	"IL2RG(1.99337272205),TAP1(1.0321993922)"
ko00430	Taurine and hypotaurine metabolism	1/185	10/6035	0.267709502	0.699148067	GGT5(2.33916889137)	GGT5(2.33916889137)
ko04150	mTOR signaling pathway	6/185	145/6035	0.284954468	0.734882575	"DDIT4(1.75172381312),FNIP1(1.09676387433),PRKCG(1.39222538185),RICTOR(1.28470294587),SESN2(1.33177927155),WNT5A(1.1683823436)"	"DDIT4(1.75172381312),FNIP1(1.09676387433),PRKCG(1.39222538185),RICTOR(1.28470294587),SESN2(1.33177927155),WNT5A(1.1683823436)"
ko04978	Mineral absorption	2/185	35/6035	0.291476601	0.741067087	"SLC30A1(1.24118838311),TRPV6(1.30466533521)"	"SLC30A1(1.24118838311),TRPV6(1.30466533521)"
ko04742	Taste transduction	3/185	62/6035	0.295805235	0.741067087	"PDE1B(1.10604592631),SCNN1A(1.4299463464),SCNN1B(2.3439237497)"	"PDE1B(1.10604592631),SCNN1A(1.4299463464),SCNN1B(2.3439237497)"
ko04010	MAPK signaling pathway	9/185	236/6035	0.298128264	0.741067087	"DDIT3(1.91046969244),DUSP10(1.2697440963),GADD45A(2.40324896668),GADD45B(1.50050383027),GADD45G(1.84006869182),HSP70.2(1.30526719848),HSPA6(1.13880044068),MKNK2(1.00109003039),PRKCG(1.39222538185)"	"DDIT3(1.91046969244),DUSP10(1.2697440963),GADD45A(2.40324896668),GADD45B(1.50050383027),GADD45G(1.84006869182),HSP70.2(1.30526719848),HSPA6(1.13880044068),MKNK2(1.00109003039),PRKCG(1.39222538185)"
ko04750	Inflammatory mediator regulation of TRP channels	4/185	92/6035	0.311544549	0.75022606	"CYP2C33(4.75082889348),PRKCG(1.39222538185),TRPM8(1.35364800666),TRPV2(1.18573119885)"	"CYP2C33(4.75082889348),PRKCG(1.39222538185),TRPM8(1.35364800666),TRPV2(1.18573119885)"
ko05031	Amphetamine addiction	3/185	64/6035	0.312721781	0.75022606	"CREB5(1.30524183694),PRKCG(1.39222538185),SLC6A3(1.15572733705)"	"CREB5(1.30524183694),PRKCG(1.39222538185),SLC6A3(1.15572733705)"
ko05120	Epithelial cell signaling in Helicobacter pylori infection	3/185	64/6035	0.312721781	0.75022606	"ATP6V0A1(1.23163951146),CCL5(2.09464524107),NFKBIA(1.17865304471)"	"ATP6V0A1(1.23163951146),CCL5(2.09464524107),NFKBIA(1.17865304471)"
ko04270	Vascular smooth muscle contraction	5/185	122/6035	0.319086166	0.756695566	"ADORA2A(1.85822104054),AVP(1.01656473003),NPR2(1.32465866308),PRKCG(1.39222538185),RAMP1(1.59243978949)"	"ADORA2A(1.85822104054),AVP(1.01656473003),NPR2(1.32465866308),PRKCG(1.39222538185),RAMP1(1.59243978949)"
ko04624	Toll and Imd signaling pathway	2/185	38/6035	0.325711067	0.76324071	"NFKBIA(1.17865304471),REL(1.1516107813)"	"NFKBIA(1.17865304471),REL(1.1516107813)"
ko05169	Epstein-Barr virus infection	7/185	183/6035	0.329244909	0.76324071	"HSP70.2(1.30526719848),HSPA6(1.13880044068),NFKBIA(1.17865304471),RBPJ(1.18668824508),SLA-1(1.08281258376),SPI1(1.50935134992),TNFAIP3(1.06419717467)"	"HSP70.2(1.30526719848),HSPA6(1.13880044068),NFKBIA(1.17865304471),RBPJ(1.18668824508),SLA-1(1.08281258376),SPI1(1.50935134992),TNFAIP3(1.06419717467)"
ko00910	Nitrogen metabolism	1/185	13/6035	0.333125772	0.76365674	CA5B(1.17510722949)	CA5B(1.17510722949)
ko00360	Phenylalanine metabolism	1/185	14/6035	0.353612609	0.775280362	ALDH3A1(1.09899768484)	ALDH3A1(1.09899768484)
ko00450	Selenocompound metabolism	1/185	14/6035	0.353612609	0.775280362	SEPSECS(1.35531889114)	SEPSECS(1.35531889114)
ko04650	Natural killer cell mediated cytotoxicity	4/185	98/6035	0.353638343	0.775280362	"PRKCG(1.39222538185),SLA-1(1.08281258376),TNFSF10(1.21410069906),VAV3(1.33340079608)"	"PRKCG(1.39222538185),SLA-1(1.08281258376),TNFSF10(1.21410069906),VAV3(1.33340079608)"
ko05142	Chagas disease (American trypanosomiasis)	4/185	98/6035	0.353638343	0.775280362	"CCL3L1(3.59126992356),CCL5(2.09464524107),NFKBIA(1.17865304471),SERPINE1(1.11662825218)"	"CCL3L1(3.59126992356),CCL5(2.09464524107),NFKBIA(1.17865304471),SERPINE1(1.11662825218)"
ko04961	Endocrine and other factor-regulated calcium reabsorption	2/185	41/6035	0.359507261	0.775280362	"DNM1(1.13212995597),PRKCG(1.39222538185)"	"DNM1(1.13212995597),PRKCG(1.39222538185)"
ko03320	PPAR signaling pathway	3/185	70/6035	0.363501696	0.775280362	"PCK1(1.14395641789),PLTP(1.42086443524),UBC(1.24963406188)"	"PCK1(1.14395641789),PLTP(1.42086443524),UBC(1.24963406188)"
ko04024	cAMP signaling pathway	7/185	190/6035	0.364500435	0.775280362	"ADORA2A(1.85822104054),CREB5(1.30524183694),GIPR(1.19107990747),NFKBIA(1.17865304471),RAPGEF3(1.39927348072),TNNI3(1.08400169954),VAV3(1.33340079608)"	"ADORA2A(1.85822104054),CREB5(1.30524183694),GIPR(1.19107990747),NFKBIA(1.17865304471),RAPGEF3(1.39927348072),TNNI3(1.08400169954),VAV3(1.33340079608)"
ko04726	Serotonergic synapse	4/185	101/6035	0.374729939	0.788905135	"CYP2C33(4.75082889348),PRKCG(1.39222538185),PTGS2(1.55532095758),RAPGEF3(1.39927348072)"	"CYP2C33(4.75082889348),PRKCG(1.39222538185),PTGS2(1.55532095758),RAPGEF3(1.39927348072)"
ko05034	Alcoholism	4/185	102/6035	0.381751824	0.795569989	"ADORA2A(1.85822104054),CREB5(1.30524183694),HIST1H2BD(1.53168629501),SLC6A3(1.15572733705)"	"ADORA2A(1.85822104054),CREB5(1.30524183694),HIST1H2BD(1.53168629501),SLC6A3(1.15572733705)"
ko04913	Ovarian Steroidogenesis	2/185	44/6035	0.392671601	0.810143514	"CYP1A1(2.36678609134),PTGS2(1.55532095758)"	"CYP1A1(2.36678609134),PTGS2(1.55532095758)"
ko03018	RNA degradation	3/185	75/6035	0.405395767	0.828114334	"DCP2(1.16117308564),PAPD5(1.10190271097),TOB1(1.20252032538)"	"DCP2(1.16117308564),PAPD5(1.10190271097),TOB1(1.20252032538)"
ko04725	Cholinergic synapse	4/185	107/6035	0.41670132	0.835090478	"CREB5(1.30524183694),JAK2(1.16750657076),KCNQ4(2.09359400582),PRKCG(1.39222538185)"	"CREB5(1.30524183694),JAK2(1.16750657076),KCNQ4(2.09359400582),PRKCG(1.39222538185)"
ko04925	Aldosterone synthesis and secretion	3/185	77/6035	0.421943563	0.835090478	"CREB5(1.30524183694),NR4A2(1.10666159279),PRKCG(1.39222538185)"	"CREB5(1.30524183694),NR4A2(1.10666159279),PRKCG(1.39222538185)"
ko00600	Sphingolipid metabolism	2/185	47/6035	0.425048164	0.835090478	"ARSA(1.34963136282),DEGS2(1.22557172657)"	"ARSA(1.34963136282),DEGS2(1.22557172657)"
ko05030	Cocaine addiction	2/185	47/6035	0.425048164	0.835090478	"CREB5(1.30524183694),SLC6A3(1.15572733705)"	"CREB5(1.30524183694),SLC6A3(1.15572733705)"
ko05410	Hypertrophic cardiomyopathy (HCM)	3/185	78/6035	0.430160704	0.835090478	"ITGA7(2.14767627267),ITGB6(3.65140434079),TNNI3(1.08400169954)"	"ITGA7(2.14767627267),ITGB6(3.65140434079),TNNI3(1.08400169954)"
ko04360	Axon guidance	6/185	172/6035	0.433096669	0.835090478	"EPHA1(1.03692129515),PARD6B(1.13582282895),PLXNA3(1.23578867355),SEMA3B(1.27809646127),SEMA7A(1.76178425922),WNT5A(1.1683823436)"	"EPHA1(1.03692129515),PARD6B(1.13582282895),PLXNA3(1.23578867355),SEMA3B(1.27809646127),SEMA7A(1.76178425922),WNT5A(1.1683823436)"
ko04666	Fc gamma R-mediated phagocytosis	3/185	79/6035	0.438336425	0.83736783	"PIP5K1C(1.23299745223),PRKCG(1.39222538185),VAV3(1.33340079608)"	"PIP5K1C(1.23299745223),PRKCG(1.39222538185),VAV3(1.33340079608)"
ko04974	Protein digestion and absorption	3/185	80/6035	0.446468186	0.83844453	"COL1A1(1.29297876392),COL6A2(2.26470762237),DPP4(1.77286780019)"	"COL1A1(1.29297876392),COL6A2(2.26470762237),DPP4(1.77286780019)"
ko04614	Renin-angiotensin system	1/185	19/6035	0.447027823	0.83844453	ANPEP(3.66295898005)	ANPEP(3.66295898005)
ko05414	Dilated cardiomyopathy (DCM)	3/185	81/6035	0.454553553	0.842094189	"ITGA7(2.14767627267),ITGB6(3.65140434079),TNNI3(1.08400169954)"	"ITGA7(2.14767627267),ITGB6(3.65140434079),TNNI3(1.08400169954)"
ko04911	Insulin secretion	3/185	82/6035	0.462590205	0.842094189	"CREB5(1.30524183694),PRKCG(1.39222538185),SLC2A1(1.03151241193)"	"CREB5(1.30524183694),PRKCG(1.39222538185),SLC2A1(1.03151241193)"
ko04390	Hippo signaling pathway	5/185	147/6035	0.471695913	0.842094189	"AREG(1.0058997914),BBC3(2.4145500821),PARD6B(1.13582282895),SERPINE1(1.11662825218),WNT5A(1.1683823436)"	"AREG(1.0058997914),BBC3(2.4145500821),PARD6B(1.13582282895),SERPINE1(1.11662825218),WNT5A(1.1683823436)"
ko04110	Cell cycle	4/185	118/6035	0.49172194	0.842094189	"CDKN2D(1.07350779294),GADD45A(2.40324896668),GADD45B(1.50050383027),GADD45G(1.84006869182)"	"CDKN2D(1.07350779294),GADD45A(2.40324896668),GADD45B(1.50050383027),GADD45G(1.84006869182)"
ko04320	Dorso-ventral axis formation	1/185	22/6035	0.496497017	0.842094189	CPEB4(1.2286994393)	CPEB4(1.2286994393)
ko00340	Histidine metabolism	1/185	23/6035	0.511988128	0.842094189	ALDH3A1(1.09899768484)	ALDH3A1(1.09899768484)
ko00983	Drug metabolism - other enzymes	1/185	23/6035	0.511988128	0.842094189	CES1(1.42984942696)	CES1(1.42984942696)
ko03060	Protein export	1/185	23/6035	0.511988128	0.842094189	HSPA5(1.07766242291)	HSPA5(1.07766242291)
ko05032	Morphine addiction	3/185	89/6035	0.517309791	0.842094189	"GABRP(2.38288943353),PDE1B(1.10604592631),PRKCG(1.39222538185)"	"GABRP(2.38288943353),PDE1B(1.10604592631),PRKCG(1.39222538185)"
ko00650	Butanoate metabolism	1/185	24/6035	0.527005127	0.842094189	L2HGDH(1.12846632872)	L2HGDH(1.12846632872)
ko04966	Collecting duct acid secretion	1/185	25/6035	0.541562447	0.842094189	ATP6V0A1(1.23163951146)	ATP6V0A1(1.23163951146)
ko04213	Longevity regulating pathway - multiple species	2/185	59/6035	0.544606023	0.842094189	"HSP70.2(1.30526719848),HSPA6(1.13880044068)"	"HSP70.2(1.30526719848),HSPA6(1.13880044068)"
ko04810	Regulation of actin cytoskeleton	6/185	193/6035	0.54549803	0.842094189	"FN1(1.62392348378),ITGA7(2.14767627267),ITGB6(3.65140434079),PIP5K1C(1.23299745223),SPATA13(1.00349137094),VAV3(1.33340079608)"	"FN1(1.62392348378),ITGA7(2.14767627267),ITGB6(3.65140434079),PIP5K1C(1.23299745223),SPATA13(1.00349137094),VAV3(1.33340079608)"
ko05205	Proteoglycans in cancer	6/185	193/6035	0.54549803	0.842094189	"FN1(1.62392348378),KDR(1.90495530896),MIR21(1.78720651583),PRKCG(1.39222538185),SDC1(1.32752189002),WNT5A(1.1683823436)"	"FN1(1.62392348378),KDR(1.90495530896),MIR21(1.78720651583),PRKCG(1.39222538185),SDC1(1.32752189002),WNT5A(1.1683823436)"
ko04141	Protein processing in endoplasmic reticulum	5/185	160/6035	0.547287655	0.842094189	"DDIT3(1.91046969244),HSP70.2(1.30526719848),HSPA5(1.07766242291),HSPA6(1.13880044068),PPP1R15A(1.03137652412)"	"DDIT3(1.91046969244),HSP70.2(1.30526719848),HSPA5(1.07766242291),HSPA6(1.13880044068),PPP1R15A(1.03137652412)"
ko00010	Glycolysis / Gluconeogenesis	2/185	60/6035	0.553766536	0.842094189	"ALDH3A1(1.09899768484),PCK1(1.14395641789)"	"ALDH3A1(1.09899768484),PCK1(1.14395641789)"
ko04070	Phosphatidylinositol signaling system	3/185	94/6035	0.554525741	0.842094189	"PIP5K1C(1.23299745223),PLCD3(1.0669030207),PRKCG(1.39222538185)"	"PIP5K1C(1.23299745223),PLCD3(1.0669030207),PRKCG(1.39222538185)"
ko04915	Estrogen signaling pathway	3/185	94/6035	0.554525741	0.842094189	"CREB5(1.30524183694),HSP70.2(1.30526719848),HSPA6(1.13880044068)"	"CREB5(1.30524183694),HSP70.2(1.30526719848),HSPA6(1.13880044068)"
ko04922	Glucagon signaling pathway	3/185	94/6035	0.554525741	0.842094189	"CREB5(1.30524183694),PCK1(1.14395641789),SLC2A1(1.03151241193)"	"CREB5(1.30524183694),PCK1(1.14395641789),SLC2A1(1.03151241193)"
ko04550	Signaling pathways regulating pluripotency of stem cells	4/185	128/6035	0.556301419	0.842094189	"ACVR1(1.43898671695),ACVR2B(1.1493734209),JAK2(1.16750657076),WNT5A(1.1683823436)"	"ACVR1(1.43898671695),ACVR2B(1.1493734209),JAK2(1.16750657076),WNT5A(1.1683823436)"
ko04015	Rap1 signaling pathway	6/185	196/6035	0.560806875	0.842094189	"ADORA2A(1.85822104054),KDR(1.90495530896),NGFR(2.89834916686),PARD6B(1.13582282895),PRKCG(1.39222538185),RAPGEF3(1.39927348072)"	"ADORA2A(1.85822104054),KDR(1.90495530896),NGFR(2.89834916686),PARD6B(1.13582282895),PRKCG(1.39222538185),RAPGEF3(1.39927348072)"
ko05231	Choline metabolism in cancer	3/185	95/6035	0.56176391	0.842094189	"PIP5K1C(1.23299745223),PRKCG(1.39222538185),SLC44A4(1.74295982071)"	"PIP5K1C(1.23299745223),PRKCG(1.39222538185),SLC44A4(1.74295982071)"
ko04721	Synaptic vesicle cycle	2/185	61/6035	0.562796992	0.842094189	"ATP6V0A1(1.23163951146),DNM1(1.13212995597)"	"ATP6V0A1(1.23163951146),DNM1(1.13212995597)"
ko04932	Non-alcoholic fatty liver disease (NAFLD)	4/185	130/6035	0.568693848	0.842094189	"BCL2L11(1.43383708122),DDIT3(1.91046969244),IL6R(1.09981069263),MLXIP(1.00109460766)"	"BCL2L11(1.43383708122),DDIT3(1.91046969244),IL6R(1.09981069263),MLXIP(1.00109460766)"
ko05224	Breast cancer	4/185	130/6035	0.568693848	0.842094189	"DLL1(1.9356812051),DLL4(3.42203822861),FRAT2(1.12984885252),WNT5A(1.1683823436)"	"DLL1(1.9356812051),DLL4(3.42203822861),FRAT2(1.12984885252),WNT5A(1.1683823436)"
ko04011	MAPK signaling pathway - yeast	1/185	27/6035	0.569353615	0.842094189	PIP5K1C(1.23299745223)	PIP5K1C(1.23299745223)
ko04976	Bile secretion	2/185	63/6035	0.580465201	0.842094189	"SLC2A1(1.03151241193),SULT2A1(4.37091575313)"	"SLC2A1(1.03151241193),SULT2A1(4.37091575313)"
ko04723	Retrograde endocannabinoid signaling	3/185	98/6035	0.583049449	0.842094189	"GABRP(2.38288943353),PRKCG(1.39222538185),PTGS2(1.55532095758)"	"GABRP(2.38288943353),PRKCG(1.39222538185),PTGS2(1.55532095758)"
ko04720	Long-term potentiation	2/185	64/6035	0.589102085	0.842094189	"PRKCG(1.39222538185),RAPGEF3(1.39927348072)"	"PRKCG(1.39222538185),RAPGEF3(1.39927348072)"
ko04072	Phospholipase D signaling pathway	4/185	134/6035	0.592898578	0.842094189	"AVP(1.01656473003),DNM1(1.13212995597),PIP5K1C(1.23299745223),RAPGEF3(1.39927348072)"	"AVP(1.01656473003),DNM1(1.13212995597),PIP5K1C(1.23299745223),RAPGEF3(1.39927348072)"
ko00020	Citrate cycle (TCA cycle)	1/185	30/6035	0.607929187	0.842094189	PCK1(1.14395641789)	PCK1(1.14395641789)
ko00350	Tyrosine metabolism	1/185	30/6035	0.607929187	0.842094189	ALDH3A1(1.09899768484)	ALDH3A1(1.09899768484)
ko00512	Mucin type O-glycan biosynthesis	1/185	30/6035	0.607929187	0.842094189	GALNT16(3.33151549595)	GALNT16(3.33151549595)
ko04140	Regulation of autophagy	1/185	30/6035	0.607929187	0.842094189	GABARAPL1(1.71241442719)	GABARAPL1(1.71241442719)
ko04662	B cell receptor signaling pathway	2/185	67/6035	0.614221681	0.842094189	"NFKBIA(1.17865304471),VAV3(1.33340079608)"	"NFKBIA(1.17865304471),VAV3(1.33340079608)"
ko05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	2/185	67/6035	0.614221681	0.842094189	"ITGA7(2.14767627267),ITGB6(3.65140434079)"	"ITGA7(2.14767627267),ITGB6(3.65140434079)"
ko05143	African trypanosomiasis	1/185	31/6035	0.620007972	0.842094189	PRKCG(1.39222538185)	PRKCG(1.39222538185)
ko00562	Inositol phosphate metabolism	2/185	68/6035	0.622331354	0.842094189	"PIP5K1C(1.23299745223),PLCD3(1.0669030207)"	"PIP5K1C(1.23299745223),PLCD3(1.0669030207)"
ko04670	Leukocyte transendothelial migration	3/185	105/6035	0.630116661	0.842094189	"PRKCG(1.39222538185),RAPGEF3(1.39927348072),VAV3(1.33340079608)"	"PRKCG(1.39222538185),RAPGEF3(1.39927348072),VAV3(1.33340079608)"
ko00051	Fructose and mannose metabolism	1/185	32/6035	0.631716587	0.842094189	PMM1(1.13657981744)	PMM1(1.13657981744)
ko03410	Base excision repair	1/185	32/6035	0.631716587	0.842094189	NEIL1(1.2207909952)	NEIL1(1.2207909952)
ko04020	Calcium signaling pathway	5/185	176/6035	0.632690924	0.842094189	"ADORA2A(1.85822104054),PDE1B(1.10604592631),PLCD3(1.0669030207),PPIF(1.67758411457),PRKCG(1.39222538185)"	"ADORA2A(1.85822104054),PDE1B(1.10604592631),PLCD3(1.0669030207),PPIF(1.67758411457),PRKCG(1.39222538185)"
ko04919	Thyroid hormone signaling pathway	3/185	106/6035	0.636535414	0.842094189	"PLCD3(1.0669030207),PRKCG(1.39222538185),SLC2A1(1.03151241193)"	"PLCD3(1.0669030207),PRKCG(1.39222538185),SLC2A1(1.03151241193)"
ko05100	Bacterial invasion of epithelial cells	2/185	71/6035	0.645873721	0.842094189	"DNM1(1.13212995597),FN1(1.62392348378)"	"DNM1(1.13212995597),FN1(1.62392348378)"
ko04970	Salivary secretion	2/185	72/6035	0.653460581	0.842094189	"PRKCG(1.39222538185),TRPV6(1.30466533521)"	"PRKCG(1.39222538185),TRPV6(1.30466533521)"
ko00500	Starch and sucrose metabolism	1/185	34/6035	0.654068105	0.842094189	TREH(1.25489319597)	TREH(1.25489319597)
ko04975	Fat digestion and absorption	1/185	34/6035	0.654068105	0.842094189	APOA4(1.16246955417)	APOA4(1.16246955417)
ko05132	Salmonella infection	2/185	76/6035	0.682523312	0.842094189	"CCL3L1(3.59126992356),CCL4(2.50728362427)"	"CCL3L1(3.59126992356),CCL4(2.50728362427)"
ko00620	Pyruvate metabolism	1/185	37/6035	0.68509032	0.842094189	PCK1(1.14395641789)	PCK1(1.14395641789)
ko04350	TGF-beta signaling pathway	2/185	77/6035	0.689472106	0.842094189	"ACVR1(1.43898671695),ACVR2B(1.1493734209)"	"ACVR1(1.43898671695),ACVR2B(1.1493734209)"
ko04071	Sphingolipid signaling pathway	3/185	115/6035	0.690805172	0.842094189	"DEGS2(1.22557172657),PRKCG(1.39222538185),S1PR1(1.15221988743)"	"DEGS2(1.22557172657),PRKCG(1.39222538185),S1PR1(1.15221988743)"
ko00380	Tryptophan metabolism	1/185	38/6035	0.694803273	0.842094189	CYP1A1(2.36678609134)	CYP1A1(2.36678609134)
ko05033	Nicotine addiction	1/185	38/6035	0.694803273	0.842094189	GABRP(2.38288943353)	GABRP(2.38288943353)
ko05219	Bladder cancer	1/185	38/6035	0.694803273	0.842094189	DAPK2(1.00959268556)	DAPK2(1.00959268556)
ko00513	Various types of N-glycan biosynthesis	1/185	39/6035	0.704218213	0.842094189	ALG13(1.21062025623)	ALG13(1.21062025623)
ko05200	Pathways in cancer	10/185	370/6035	0.706685761	0.842094189	"DAPK2(1.00959268556),FN1(1.62392348378),LAMA3(1.30113026142),LAMB3(1.11738505178),NFKBIA(1.17865304471),PRKCG(1.39222538185),PTGS2(1.55532095758),SLC2A1(1.03151241193),SPI1(1.50935134992),WNT5A(1.1683823436)"	"DAPK2(1.00959268556),FN1(1.62392348378),LAMA3(1.30113026142),LAMB3(1.11738505178),NFKBIA(1.17865304471),PRKCG(1.39222538185),PTGS2(1.55532095758),SLC2A1(1.03151241193),SPI1(1.50935134992),WNT5A(1.1683823436)"
ko03040	Spliceosome	3/185	119/6035	0.712903233	0.842094189	"CDC40(1.21262022256),HSP70.2(1.30526719848),HSPA6(1.13880044068)"	"CDC40(1.21262022256),HSP70.2(1.30526719848),HSPA6(1.13880044068)"
ko03015	mRNA surveillance pathway	2/185	81/6035	0.716030199	0.842094189	"PAPOLG(1.0078004929),UPF2(1.18475543214)"	"PAPOLG(1.0078004929),UPF2(1.18475543214)"
ko04740	Olfactory transduction	1/185	41/6035	0.722190159	0.842094189	PDE1B(1.10604592631)	PDE1B(1.10604592631)
ko04012	ErbB signaling pathway	2/185	82/6035	0.722366199	0.842094189	"AREG(1.0058997914),PRKCG(1.39222538185)"	"AREG(1.0058997914),PRKCG(1.39222538185)"
ko05215	Prostate cancer	2/185	83/6035	0.728583243	0.842094189	"CREB5(1.30524183694),NFKBIA(1.17865304471)"	"CREB5(1.30524183694),NFKBIA(1.17865304471)"
ko00970	Aminoacyl-tRNA biosynthesis	1/185	42/6035	0.730764537	0.842094189	SEPSECS(1.35531889114)	SEPSECS(1.35531889114)
ko05012	Parkinson's disease	3/185	123/6035	0.733773431	0.842094189	"ADORA2A(1.85822104054),PPIF(1.67758411457),SLC6A3(1.15572733705)"	"ADORA2A(1.85822104054),PPIF(1.67758411457),SLC6A3(1.15572733705)"
ko05206	MicroRNAs in cancer	6/185	236/6035	0.737658833	0.842094189	"BCL2L11(1.43383708122),BMF(2.41780921864),DDIT4(1.75172381312),MIR21(1.78720651583),PRKCG(1.39222538185),PTGS2(1.55532095758)"	"BCL2L11(1.43383708122),BMF(2.41780921864),DDIT4(1.75172381312),MIR21(1.78720651583),PRKCG(1.39222538185),PTGS2(1.55532095758)"
ko01522	Endocrine resistance	2/185	85/6035	0.740665669	0.842094189	"DLL1(1.9356812051),DLL4(3.42203822861)"	"DLL1(1.9356812051),DLL4(3.42203822861)"
ko04728	Dopaminergic synapse	3/185	125/6035	0.74375491	0.842094189	"CREB5(1.30524183694),PRKCG(1.39222538185),SLC6A3(1.15572733705)"	"CREB5(1.30524183694),PRKCG(1.39222538185),SLC6A3(1.15572733705)"
ko00520	Amino sugar and nucleotide sugar metabolism	1/185	44/6035	0.747131569	0.842094189	PMM1(1.13657981744)	PMM1(1.13657981744)
ko04211	Longevity regulating pathway - mammal	2/185	87/6035	0.752288201	0.842094189	"CREB5(1.30524183694),SESN2(1.33177927155)"	"CREB5(1.30524183694),SESN2(1.33177927155)"
ko04530	Tight junction	3/185	127/6035	0.753438506	0.842094189	"PARD6B(1.13582282895),PRKCG(1.39222538185),RAB3B(1.99163759509)"	"PARD6B(1.13582282895),PRKCG(1.39222538185),RAB3B(1.99163759509)"
ko05144	Malaria	1/185	45/6035	0.754940058	0.842094189	SDC1(1.32752189002)	SDC1(1.32752189002)
ko04014	Ras signaling pathway	5/185	206/6035	0.763979864	0.842094189	"KDR(1.90495530896),NGFR(2.89834916686),PRKCG(1.39222538185),REL(1.1516107813),SYNGAP1(1.24166159102)"	"KDR(1.90495530896),NGFR(2.89834916686),PRKCG(1.39222538185),REL(1.1516107813),SYNGAP1(1.24166159102)"
ko05016	Huntington's disease	4/185	169/6035	0.76783785	0.842094189	"BBC3(2.4145500821),CREB5(1.30524183694),HAP1(1.15416786655),PPIF(1.67758411457)"	"BBC3(2.4145500821),CREB5(1.30524183694),HAP1(1.15416786655),PPIF(1.67758411457)"
ko04910	Insulin signaling pathway	3/185	132/6035	0.776370525	0.842094189	"MKNK2(1.00109003039),PCK1(1.14395641789),PTPN1(1.61543282917)"	"MKNK2(1.00109003039),PCK1(1.14395641789),PTPN1(1.61543282917)"
ko00510	N-Glycan biosynthesis	1/185	48/6035	0.776955459	0.842094189	ALG13(1.21062025623)	ALG13(1.21062025623)
ko05161	Hepatitis B	3/185	133/6035	0.780742421	0.842094189	"CREB5(1.30524183694),NFKBIA(1.17865304471),PRKCG(1.39222538185)"	"CREB5(1.30524183694),NFKBIA(1.17865304471),PRKCG(1.39222538185)"
ko04214	Apoptosis - fly	1/185	49/6035	0.783847599	0.842094189	DUSP10(1.2697440963)	DUSP10(1.2697440963)
ko05110	Vibrio cholerae infection	1/185	49/6035	0.783847599	0.842094189	ATP6V0A1(1.23163951146)	ATP6V0A1(1.23163951146)
